judet,cod_siruta,localitate,pop,localitate_clean,judet_uat,uat_cod
ALBA,1017,MUNICIPIUL ALBA IULIA,64227,municipiul alba iulia,AB,4562923
ALBA,1213,MUNICIPIUL AIUD,21307,municipiul aiud,AB,4613636
ALBA,1348,MUNICIPIUL BLAJ,17816,municipiul blaj,AB,4563007
ALBA,1874,MUNICIPIUL SEBEȘ,26490,municipiul sebes,AB,4331201
ALBA,1151,ORAȘ ABRUD,4360,orasul abrud,AB,4905592
ALBA,2915,ORAȘ BAIA DE ARIEȘ,3035,orasul baia de aries,AB,4561898
ALBA,1455,ORAȘ CÂMPENI,6569,orasul campeni,AB,4331112
ALBA,1696,ORAȘ CUGIR,19473,orasul cugir,AB,5146873
ALBA,1794,ORAȘ OCNA MUREȘ,12480,orasul ocna mures,AB,4563228
ALBA,8096,ORAȘ TEIUȘ,6308,orasul teius,AB,4561960
ALBA,1936,ORAȘ ZLATNA,6652,orasul zlatna,AB,4331031
ALBA,2130,ALBAC,1846,albac,AB,4562362
ALBA,2309,ALMAȘU MARE,1048,almasu mare,AB,4562230
ALBA,2381,ARIEȘENI,1464,arieseni,AB,4562419
ALBA,2577,AVRAM IANCU,1271,avram iancu,AB,4905550
ALBA,2988,BERGHIN,1672,berghin,AB,4562257
ALBA,3039,BISTRA,4340,bistra,AB,4562346
ALBA,3397,BLANDIANA,818,blandiana,AB,4562303
ALBA,9026,BUCERDEA GRÂNOASĂ,2169,bucerdea granoasa,AB,18866256
ALBA,3459,BUCIUM,1272,bucium,AB,4561979
ALBA,4106,CÂLNIC,1810,calnic,AB,4561936
ALBA,3761,CENADE,1031,cenade,AB,4562028
ALBA,3805,CERGĂU,1509,cergau,AB,4562010
ALBA,3841,CERU-BĂCĂINȚI,227,ceru-bacainti,AB,4562079
ALBA,3958,CETATEA DE BALTĂ,2792,cetatea de balta,AB,4562478
ALBA,1071,CIUGUD,3285,ciugud,AB,4562516
ALBA,4008,CIURULEASA,1110,ciuruleasa,AB,4562311
ALBA,4188,CRĂCIUNELU DE JOS,1954,craciunelu de jos,AB,4561944
ALBA,4142,CRICĂU,1879,cricau,AB,4562508
ALBA,9019,CUT,1054,cut,AB,16397960
ALBA,4240,DAIA ROMÂNĂ,3051,daia romana,AB,4562206
ALBA,4268,DOȘTAT,980,dostat,AB,4562265
ALBA,4302,FĂRĂU,1303,farau,AB,4562486
ALBA,4366,GALDA DE JOS,4373,galda de jos,AB,4561928
ALBA,4482,GÂRBOVA,1867,garbova,AB,4562044
ALBA,4525,GÂRDA DE SUS,1415,garda de sus,AB,4562494
ALBA,4703,HOPÂRTA,1128,hoparta,AB,4561987
ALBA,4767,HOREA,1774,horea,AB,4562249
ALBA,4927,IGHIU,6543,ighiu,AB,4562397
ALBA,4981,ÎNTREGALDE,459,intregalde,AB,4562524
ALBA,5103,JIDVEI,5020,jidvei,AB,4934610
ALBA,5167,LIVEZILE,1041,livezile,AB,4562117
ALBA,5210,LOPADEA NOUĂ,2359,lopadea noua,AB,4561995
ALBA,5309,LUNCA MUREȘULUI,2297,lunca muresului,AB,4562435
ALBA,5336,LUPȘA,2732,lupsa,AB,4561901
ALBA,5577,METEȘ,2564,metes,AB,4562150
ALBA,5700,MIHALȚ,3096,mihalt,AB,4562338
ALBA,5755,MIRĂSLĂU,1805,miraslau,AB,4562214
ALBA,5826,MOGOȘ,647,mogos,AB,4562460
ALBA,6048,NOȘLAC,1625,noslac,AB,4562370
ALBA,6119,OCOLIȘ,479,ocolis,AB,4561910
ALBA,6164,OHABA,538,ohaba,AB,4562400
ALBA,6217,PIANU,3375,pianu,AB,4561952
ALBA,6271,POIANA VADULUI,942,poiana vadului,AB,4562222
ALBA,6397,PONOR,475,ponor,AB,4650197
ALBA,6468,POȘAGA,835,posaga,AB,4934601
ALBA,6547,RĂDEȘTI,1175,radesti,AB,4562281
ALBA,6627,RÂMEȚ,426,ramet,AB,4562389
ALBA,6592,RÂMETEA,1015,rametea,AB,4562125
ALBA,6930,ROȘIA DE SECAȘ,1405,rosia de secas,AB,4562060
ALBA,6761,ROȘIA MONTANĂ,2428,rosia montana,AB,4562290
ALBA,6976,SĂLCIUA,1271,salciua,AB,4613300
ALBA,7044,SĂLIȘTEA,2155,salistea,AB,4562001
ALBA,7348,SÂNCEL,2255,sancel,AB,4562141
ALBA,7384,SÂNTIMBRU,3032,santimbru,AB,4562095
ALBA,7099,SĂSCIORI,5820,sasciori,AB,4562109
ALBA,7197,SCĂRIȘOARA,1391,scarisoara,AB,4562451
ALBA,7810,ȘIBOT,2100,sibot,AB,4562354
ALBA,7446,SOHODOL,1540,sohodol,AB,4562168
